Rk,Players,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-107,2000,19,19,1568,17.4,1,2,3,1,0,0,2,0,2.4,2.4,3.1,5.4,27,56,99,0.06,0.11,0.17,0.06,0.17,0.14,0.18,0.31,0.14,0.31,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-208,1996,20,18,1560,17.3,4,2,6,4,0,0,0,0,4.6,4.6,2.5,7.1,11,23,79,0.23,0.12,0.35,0.23,0.35,0.27,0.14,0.41,0.27,0.41,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-357,1999,18,18,1616,18,0,0,0,0,0,0,4,1,0,0,1.3,1.3,13,106,18,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-135,1997,14,12,1095,12.2,1,0,1,1,0,0,2,0,0.2,0.2,0,0.2,6,36,1,0.08,0,0.08,0.08,0.08,0.01,0,0.01,0.01,0.01,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-313,1996,5,4,436,4.8,0,0,0,0,0,0,3,0,0.7,0.7,0,0.8,1,9,1,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MF,Crystal Palace,20-314,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.34,0,0.34,0.34,0.34,Matches,a6c58494
7,Rayan Aït Nouri,fr FRA,DF,Wolves,21-245,2001,16,8,869,9.7,1,0,1,1,0,0,2,0,0.7,0.7,1,1.7,25,36,67,0.1,0,0.1,0.1,0.1,0.07,0.1,0.18,0.07,0.18,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-295,1998,8,8,673,7.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,27,10,0,0,0,0,0,0,0,0.01,0,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-202,1995,15,14,1286,14.3,0,1,1,0,0,0,1,0,0.7,0.7,0.2,0.9,18,68,8,0,0.07,0.07,0,0.07,0.05,0.01,0.06,0.05,0.06,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,27-353,1995,15,13,1156,12.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,14,94,15,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-080,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,5,7,18,0.38,0,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-301,1991,14,14,1154,12.8,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,12,107,22,0,0,0,0,0,0.03,0.08,0.12,0.03,0.12,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-068,2002,2,0,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-122,1998,20,17,1441,16,1,1,2,1,0,0,3,0,1.4,1.4,4.3,5.8,24,116,85,0.06,0.06,0.12,0.06,0.12,0.09,0.27,0.36,0.09,0.36,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-127,1992,20,20,1800,20,0,1,1,0,0,0,0,0,0,0,0.3,0.3,0,1,0,0,0.05,0.05,0,0.05,0,0.01,0.01,0,0.01,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-301,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28-361,1994,21,21,1736,19.3,9,1,10,9,0,0,1,0,5.4,5.4,1.5,6.9,54,91,177,0.47,0.05,0.52,0.47,0.52,0.28,0.08,0.36,0.28,0.36,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-006,2000,16,5,578,6.4,4,0,4,4,0,0,0,0,2.2,2.2,0.5,2.7,19,18,45,0.62,0,0.62,0.62,0.62,0.34,0.08,0.42,0.34,0.42,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-047,1994,17,15,1365,15.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,18,62,5,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-251,1996,17,17,1477,16.4,1,0,1,1,0,0,3,0,1.1,1.1,0.4,1.4,4,44,5,0.06,0,0.06,0.06,0.06,0.07,0.02,0.09,0.07,0.09,Matches,e34fc66d
21,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-092,2002,9,0,114,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,14,7,12,0,0,0,0,0,0.38,0.4,0.78,0.38,0.78,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-067,1999,16,6,721,8,3,0,3,3,0,0,1,0,1.4,1.4,0.5,1.9,18,32,41,0.37,0,0.37,0.37,0.37,0.18,0.06,0.24,0.18,0.24,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,32-315,1990,20,10,985,10.9,2,2,4,2,0,0,1,0,2.5,2.5,1,3.5,23,16,63,0.18,0.18,0.37,0.18,0.37,0.23,0.09,0.32,0.23,0.32,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,22-347,2000,12,11,908,10.1,3,0,3,3,0,0,3,0,2.7,2.7,0.4,3.2,48,28,80,0.3,0,0.3,0.3,0.3,0.27,0.04,0.32,0.27,0.32,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-200,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,29-344,1993,2,0,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-200,1996,18,11,1082,12,2,0,2,2,0,0,2,0,1.4,1.4,0.8,2.2,17,35,57,0.17,0,0.17,0.17,0.17,0.12,0.07,0.19,0.12,0.19,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,25-361,1997,20,12,1027,11.4,1,1,2,1,0,0,0,0,1.5,1.5,0.7,2.1,33,15,53,0.09,0.09,0.18,0.09,0.18,0.13,0.06,0.19,0.13,0.19,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,30-313,1992,17,7,765,8.5,1,0,1,1,0,0,3,0,1.1,1.1,1.7,2.8,34,48,49,0.12,0,0.12,0.12,0.12,0.13,0.2,0.33,0.13,0.33,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-126,1994,13,13,1125,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-233,1989,11,4,433,4.8,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1,7,3,22,0.21,0,0.21,0.21,0.21,0.15,0.07,0.22,0.15,0.22,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-291,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-044,1992,13,11,992,11,1,0,1,1,0,0,1,0,0.5,0.5,0.8,1.3,28,41,34,0.09,0,0.09,0.09,0.09,0.04,0.07,0.11,0.04,0.11,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-178,1997,16,9,730,8.1,4,0,4,4,0,0,0,0,4.5,4.5,1,5.5,11,7,33,0.49,0,0.49,0.49,0.49,0.56,0.12,0.68,0.56,0.68,Matches,e5478b87
